title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Calling You,Sarah Brindell,Latin,,https://open.spotify.com/track/4PrdBRzoRKCrvbi9tydh3j,,,,,,,,,,,,,,,
Dandelion,Sarah Brindell,Latin,,https://open.spotify.com/track/1swJe5ZG2Nt7CnDwzNnUdp,,,,,,,,,,,,,,,
New Eyes,Sarah Brindell,Latin,,https://open.spotify.com/track/1aK5IpVgIygI1bH91Mr0J3,,,,,,,,,,,,,,,
Workaholic,Sarah Brindell,Latin,,https://open.spotify.com/track/0fMOp2JhYPxCAsw2uhxZiQ,,,,,,,,,,,,,,,
Sweet Candlelight,Sarah Brindell,Latin,,https://open.spotify.com/track/4SNnRxhU48cEPijtf30O9S,,,,,,,,,,,,,,,
Own Skin,Sarah Brindell,Latin,,https://open.spotify.com/track/5WHxO92EKJkJ0pq4tgPv39,,,,,,,,,,,,,,,
4am Blues,Sarah Brindell,Latin,,https://open.spotify.com/track/1iFsH623KazxP0lLHGWTxE,,,,,,,,,,,,,,,
Teleported,Sarah Brindell,Latin,,https://open.spotify.com/track/3R7WyhY4HlbrR0fIE6vmfv,,,,,,,,,,,,,,,
Truth,Sarah Brindell,Latin,,https://open.spotify.com/track/5HP5gU4xzYc5UmGG8GBDzB,,,,,,,,,,,,,,,
Purple Lullaby,Sarah Brindell,Latin,,https://open.spotify.com/track/079f8JSALG4SA0XO70h2U6,,,,,,,,,,,,,,,
I Know,Sarah Brindell,Latin,,https://open.spotify.com/track/24C33L4vQ79XkUOx56TV4D,,,,,,,,,,,,,,,
Shadow,Sarah Brindell,Latin,,https://open.spotify.com/track/7MmIzccnk9WLPQHn3v0eva,,,,,,,,,,,,,,,
Aphrodite,Sarah Brindell,Latin,,https://open.spotify.com/track/3moQwnFaAuklu86RtxngxO,,,,,,,,,,,,,,,
Pillow,Sarah Brindell,Latin,,https://open.spotify.com/track/0QTXNwQU6KZl7LVq9JbRpx,,,,,,,,,,,,,,,
Overcome,Sarah Brindell,Latin,,https://open.spotify.com/track/3P1AGYJcWjBdEmpQY57ty2,,,,,,,,,,,,,,,
Little Sunflower (Watch You Grow),Sarah Brindell,Latin,,,,,,,,,,,,,,,,,
Message in a Bottle,Sarah Brindell,Latin,,https://open.spotify.com/track/5QIkG691ocz3OPz5LFjvIa,,,,,,,,,,,,,,,
Sophisticated Lady,Sarah Brindell,Latin,,https://open.spotify.com/track/2DkF9XRMEm9p1DBbzNrbeV,,,,,,,,,,,,,,,
Little Sunflower,Sarah Brindell,Latin,,https://open.spotify.com/track/1ItZCAjVn7eprttLr0FySM,,,,,,,,,,,,,,,
Free,Sarah Brindell,Latin,,https://open.spotify.com/track/6X5YhHbAsIRWvCAkmZQC1E,,,,,,,,,,,,,,,
Little Sunflower - Watch You Grow,Sarah Brindell,Latin,,https://open.spotify.com/track/70bp70tXOXPQVGgyY0VlBx,,,,,,,,,,,,,,,
Sophisticated Lady (Back in Love),Sarah Brindell,Latin,,https://open.spotify.com/track/4egLOrSH9RZoSpv9F62LYD,,,,,,,,,,,,,,,
Outro (to the Otherside),Sarah Brindell,Latin,,https://open.spotify.com/track/63o7K2V0rCjAnqSB8aoTum,,,,,,,,,,,,,,,
Case of the Suppostas,Sarah Brindell,Latin,,https://open.spotify.com/track/6bPGu7cxKeauVUSWvgVwkw,,,,,,,,,,,,,,,
Dulce Sentimiento,Sarah Brindell,Latin,,https://open.spotify.com/track/0c1IvA5010tirtCEi8f8Qi,,,,,,,,,,,,,,,
For Your Beauty,Sarah Brindell,Latin,,https://open.spotify.com/track/0c6ct84rQuDwsNcQDqQ6c8,,,,,,,,,,,,,,,
Uncle Moe,Sarah Brindell,Latin,,https://open.spotify.com/track/3D32BrKQS91QJKyJFigaSo,,,,,,,,,,,,,,,
Wumi,Sarah Brindell,Latin,,https://open.spotify.com/track/3Cd9kqxcBSMKWpahHbKyGy,,,,,,,,,,,,,,,
Remedy,Sarah Brindell,Latin,,https://open.spotify.com/track/5lprzGdpjwSEnzSiJ1F55e,,,,,,,,,,,,,,,
Sweet Candelight,Sarah Brindell,Latin,,,,,,,,,,,,,,,,,
purpel lullaby,Sarah Brindell,Latin,,,,,,,,,,,,,,,,,
sweet candellight,Sarah Brindell,Latin,,,,,,,,,,,,,,,,,
outro (to the other side),Sarah Brindell,Latin,,,,,,,,,,,,,,,,,
Backwards,Sarah Jane,Latin,https://www.youtube.com/watch?v=IW8VgtsF4eo,https://open.spotify.com/track/3jbWJoOrBZ7RHyurCn7Fgv,,4211.0,347.0,,,,,,,,,,,,
Listen People,Sarah Jane,Latin,https://www.youtube.com/watch?v=upm9nEEY1Qc,,,463.0,0.0,,,,,,,,,,,,
Chasing - Urban Assault Remix,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Control,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Sleepwalking,Sarah Jane,Latin,https://www.youtube.com/watch?v=_RPh4K5o6Ug,,,81074.0,5084.0,,,,,,,,,,,,
Bully,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Lately,Sarah Jane,Latin,,https://open.spotify.com/track/53xMOmYhb2S4NROmoY32LE,,,,,,,,,,,,,,,
Cross Contaminate,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Brain,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
It's Alright,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Rest,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Superior,Sarah Jane,Latin,,https://open.spotify.com/track/7GnyaCwc9xYtA8JTNmdR1s,,,,,,,,,,,,,,,
Where Are You?,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
August,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Drowning,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Apparently,Sarah Jane,Latin,,https://open.spotify.com/track/0goCRy34I1hOwNoEGf55r1,,,,,,,,,,,,,,,
Remember,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Finger,Sarah Jane,Latin,,https://open.spotify.com/track/1Ucrv32lXJ30iQmMjLjDPb,,,,,,,,,,,,,,,
Poison,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Marry,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Bother,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Down,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Kill the Dream,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Tasteless Tongues,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Absence,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Suffocate,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Mind Blank,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Rain on Me,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Kiss Cross,Sarah Jane,Latin,,https://open.spotify.com/track/03QQBg2M9m6Ji6auRMdNFv,,,,,,,,,,,,,,,
The Kids,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Sheets of Denial - Piano Version,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Cut My Teeth,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Talk About It,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
Wollongong Road,Sarah Jane,Latin,,,,,,,,,,,,,,,,,
