title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Kyu-kurarin,いよわ,JP,https://www.youtube.com/watch?v=2b1IexhKPz4,https://open.spotify.com/track/56xCsaFsih5swf7IZXPYzU,,47122031,562364,,,,,,,,,,,,
きゅうくらりん,いよわ,JP,https://www.youtube.com/watch?v=2b1IexhKPz4,,,47122031,562364,,,,,,,,,,,,
IMAWANOKIWA,いよわ,JP,https://www.youtube.com/watch?v=OVwCr2MESfo,,,12006220,159600,,,,,,,,,,,,
ふぇのめのん,いよわ,JP,,,,,,,,,,,,,,,,,
われらはハレ,いよわ,JP,,,,,,,,,,,,,,,,,
1000年生きてる,いよわ,JP,https://www.youtube.com/watch?v=3em-J9yYPAo,https://open.spotify.com/track/3Gv45rYIlgRLAGxKshlipu,,8809079,110667,,,,,,,,,,,,
アプリコット,いよわ,JP,https://www.youtube.com/watch?v=_uMDEIPgmFI,,,6342763,83961,,,,,,,,,,,,
Apricot,いよわ,JP,,https://open.spotify.com/track/7cgGVjFZld4JVBSU26pMX5,,,,,,,,,,,,,,,
異星にいこうね,いよわ,JP,https://www.youtube.com/watch?v=PubukElqUJw,,,3369922,53703,,,,,,,,,,,,
あだぽしゃ,いよわ,JP,https://www.youtube.com/watch?v=Wr-2xcQkke4,,,4457579,58631,,,,,,,,,,,,
たぶん終わり,いよわ,JP,,,,,,,,,,,,,,,,,
Heat abnormal,いよわ,JP,,,,,,,,,,,,,,,,,
Living Millennium,いよわ,JP,,,,,,,,,,,,,,,,,
熱異常,いよわ,JP,https://www.youtube.com/watch?v=b2NTglk9tvI,,,3752144,53979,,,,,,,,,,,,
黄金数,いよわ,JP,https://www.youtube.com/watch?v=_YpcTBm15QU,https://open.spotify.com/track/4FTtFxwJnGXY7n7eUXkPTc,,1115149,18278,,,,,,,,,,,,
うらぽしゃ,いよわ,JP,,,,,,,,,,,,,,,,,
地球の裏,いよわ,JP,https://www.youtube.com/watch?v=ruBxsq03FZo,,,2573724,44028,,,,,,,,,,,,
ポプリさん,いよわ,JP,https://www.youtube.com/watch?v=I1kPD4gHMaw,,,1188920,18608,,,,,,,,,,,,
さよならジャックポット,いよわ,JP,https://www.youtube.com/watch?v=xym6yLUncNY,,,1530252,24089,,,,,,,,,,,,
ヘブンズバグ,いよわ,JP,https://www.youtube.com/watch?v=v5BloiCJCys,,,1232574,20591,,,,,,,,,,,,
捕食ひ捕食,いよわ,JP,,,,,,,,,,,,,,,,,
パジャミィ,いよわ,JP,https://www.youtube.com/watch?v=aBZqxfnvaVA,,,2591598,47195,,,,,,,,,,,,
水死体にもどらないで,いよわ,JP,,,,,,,,,,,,,,,,,
くろうばあないと,いよわ,JP,,,,,,,,,,,,,,,,,
一千光年,いよわ,JP,https://www.youtube.com/watch?v=uB_jQ8H2Yeg,,,1446796,41639,,,,,,,,,,,,
オーバー!,いよわ,JP,,,,,,,,,,,,,,,,,
わたしは禁忌,いよわ,JP,,,,,,,,,,,,,,,,,
灰色の靴,いよわ,JP,,,,,,,,,,,,,,,,,
Almost Ended,いよわ,JP,,,,,,,,,,,,,,,,,
無辜のあなた,いよわ,JP,,,,,,,,,,,,,,,,,
頬が乾くまで,いよわ,JP,https://www.youtube.com/watch?v=1LBbOldnZcA,,,1235217,28396,,,,,,,,,,,,
夢遊絶頂感,いよわ,JP,,,,,,,,,,,,,,,,,
ディアーマイウィッチクラフト,いよわ,JP,,,,,,,,,,,,,,,,,
アイリスアウト,いよわ,JP,,,,,,,,,,,,,,,,,
エンゼルケア,いよわ,JP,,,,,,,,,,,,,,,,,
赤色が怖い,いよわ,JP,,,,,,,,,,,,,,,,,
